user_id,song_id,listen_cnt,song_name,artist_id,artist_name,album_id,album_name,genre_id,genre_name,domestic_yn,reg_date
67545013,123741088,18,Wes Oleh Ganti (Matur Nuwun Gusti),13107064,Esa Risty New,14245844,Wes Oleh Ganti (Matur Nuwun Gusti),100045,Dangdut,Y,2021-04-13 09:03:48.142871
67546289,123398493,15,Forever,12977364,GANGGA,14012244,Forever,100025,R&B,Y,2021-04-13 12:41:33.197074
67547279,123405268,13,Sapu Jagat,11446377,Sabyan,14020864,Sapu Jagat,100056,Religi-Muslim,Y,2021-04-13 18:15:52.672648
67547958,123620058,11,Bismillah Cinta,13070324,UNGU & Lesti,14175824,Bismillah Cinta (Single),100010,Pop,Y,2021-04-13 05:03:46.002339
67548468,115244318,14,"Gerua (From ""Dilwale"")",10853410,"Pritam, Arjit Singh & Antara Mitra",10756307,Yours Truly Arijit,304045,Soundtrack,N,2021-04-14 22:03:17.212341
67549215,121696951,19,LDR ( layang dungo restu ),11671085,HAPPY ASMARA,12870532,LDR ( layang dungo restu ),100045,Dangdut,Y,2021-04-14 00:32:14.983721
67549568,123742943,14,Indahnya Ramadhan,10000136,Opick,14249204,Wahai Pemilik Jiwa,100056,Religi-Muslim,Y,2021-04-13 05:52:38.586992
67549568,123740693,13,Laa Haula Walaa Quwwata illaa Billaah,11652243,Aquila,14245044,Laa Haula Walaa Quwwata illaa Billaah (Single),100010,Pop,Y,2021-04-13 06:01:39.604954
67549568,124030188,13,MAMAS (Mati Masuk Surga),10002528,Wali,14408044,MAMAS (Mati Masuk Surga) (Single),100056,Religi-Muslim,Y,2021-04-13 06:05:02.906271
67549568,120382211,13,Ramadhan Kali Ini,11687363,Ifan Seventeen,11599752,Ramadhan Kali Ini,100010,Pop,Y,2021-04-13 06:09:23.153052
67549568,120386206,14,Ya Maulana (Remastered),11446377,Sabyan,11606192,Ya Maulana (Remastered),100056,Religi-Muslim,Y,2021-04-13 05:57:29.009666
67549975,123743418,11,Pergi,11230323,Jihan Audy,14250004,Pergi,100010,Pop,Y,2021-04-13 06:18:59.343095
67549975,123741173,12,Sun Peng Telu,12475104,Syahiba Saufa feat James AP,14246104,Sun Peng Telu,100045,Dangdut,Y,2021-04-13 06:23:35.603899
67549975,123741178,14,talining asmoro,11671085,HAPPY ASMARA,14246144,talining asmoro,100045,Dangdut,Y,2021-04-13 06:18:21.877585
67549975,123741088,11,Wes Oleh Ganti (Matur Nuwun Gusti),13107064,Esa Risty New,14245844,Wes Oleh Ganti (Matur Nuwun Gusti),100045,Dangdut,Y,2021-04-13 06:28:45.298284
